,importance
weight,0.0
hb_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
ml_x,0.0
ml_y,0.0
ml_x,0.0
pod_y,0.0
pod_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
hb_y,0.0
tube_x,0.0
tube_y,0.0
tube_x,0.0
tube_y,0.0
tube_x,0.0
tube_y,0.0
pod_y,0.0
hb_x,0.0
ml_y,0.0
tube_x,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
hb_y,0.0
tube_y,0.0
pod_x,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_y,0.0
tube_y,0.0
uop_x,0.0
uop_y,0.0
tube_y,0.0
uop_x,0.0
tube_x,0.0
uop_y,0.0
tube_y,0.0
uop_x,0.0
tube_x,0.0
uop_y,0.0
tube_y,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
pod_y,0.0
tube_x,0.0
pod_x,0.0
ml_x,0.0
ml_y,0.0
ml_x,0.0
ml_y,0.0
tube_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
ml_x,0.0
ml_y,0.0
tube_y,0.0
pod_y,0.0
ml_x,0.0
ml_y,0.0
tube_x,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
tube_y,0.0
hb_x,0.0
ml_x,0.0
pod_x,0.0
pod_y,0.0
pod_x,0.0
pod_y,0.0
pod_x,0.0
hb_y,0.0
hb_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_x,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
ml_y,0.0
pod_y,0.0
pod_x,0.0
fever_y,0.0
fever_x,0.0
tube_y,0.0
ml_x,0.0
ml_y,0.0
Systolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Systolic blood pressure_y,0.0
ml_y,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
ml_x,0.0
tube_x,0.0
pod_x,0.0
rta_y,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
ml_x,0.0
pod_y,0.0
pod_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
tube_y,0.0
tube_x,0.0
tube_y,0.0
tube_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
ml_y,0.0
pod_x,0.0
pod_y,0.0
pod_x,0.0
tube_x,0.0
uop_x,0.0
tube_y,0.0
pr_x,0.0
uop_x,0.0
ml_y,0.0
uop_y,0.0
ml_x,0.0
uop_x,0.0
ml_y,0.0
uop_y,0.0
ml_x,0.0
pod_y,0.0
pod_x,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
Systolic blood pressure_y,0.0
uop_y,0.0
Diastolic blood pressure_y,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
uop_x,0.0
ml_y,0.0
fever_y,0.0
fever_x,0.0
fever_y,0.0
fever_x,0.0
uop_y,0.0
ml_x,0.0
uop_x,0.0
ml_x,0.0
ml_y,0.0
pr_x,0.0
ml_x,0.0
uop_y,0.0
ml_x,0.0
tube_x,0.0
uop_x,0.0
ml_y,0.0
tube_y,0.0
uop_y,0.0
ml_x,0.0
tube_x,0.0
uop_x,0.0
ml_y,0.0
tube_y,0.0
uop_y,0.0
tube_x,0.0
uop_x,0.0
pod_x,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
pr_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
pr_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
ml_y,0.0
Systolic blood pressure_y,0.0
uop_y,0.0
Systolic blood pressure_x,0.0
pr_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
uop_y,0.0
uop_x,0.0
uop_y,0.0
uop_x,0.0
uop_y,0.0
uop_x,0.0
pod_x,0.0
pod_y,0.0
pod_x,0.0
pr_y,0.0
Diastolic blood pressure_x,0.0
Systolic blood pressure_x,0.0
pr_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
pr_x,0.0
Systolic blood pressure_y,0.0
Diastolic blood pressure_y,0.0
uop_y,0.0
tube_y,0.0
uop_x,0.0
tube_x,0.0
Diastolic blood pressure_x,0.0
pr_y,0.0
Diastolic blood pressure_y,0.0
uop_y,0.0
pr_y,0.0
Systolic blood pressure_x,0.0
Diastolic blood pressure_x,0.0
pod_y,0.0
pod_x,0.0
uop_y,0.0
ml_x,0.0
uop_x,0.0
ml_y,0.0
uop_y,0.0
ml_x,0.0
uop_x,0.0
ml_y,0.0
