,importance
weight,0.03196420100572119
Height,0.025797781071678825
urine,0.010302614827872938
SERUM_ALBUMIN,0.010103666320220176
UREA,0.008860721384229895
Transfusion,0.00883542868176012
SERUM_CREATININE,0.00757168764492442
primary,0.0074565441974715815
repeat,0.007361666284055517
motion,0.007127091398746092
stoma,0.006695053601851483
SERUM_POTASSIUM,0.0065312693769131284
Phosphorous Test,0.005993058085646446
hemoglobin,0.005987927827935797
ALKALINE_PHOSPHATASE,0.00591814847081323
pulse,0.005571285775752454
SERUM_CALCIUM,0.00556132335269386
SERUM_GGT,0.005144817151255914
cbc,0.005120718105152565
DIRECT_BILIRUBIN,0.004852897766075081
min,0.004846998493359456
cyst,0.004838151100844948
drop,0.00467335158972854
yes,0.004625010614087567
prothrombin,0.004567654571676606
WBC,0.004533175761143462
stenting,0.004526194382310521
closure,0.004463019192618558
stable,0.004441250712031217
foley,0.004437136673648024
TOTAL_PROTEIN,0.004229852756548283
liquid,0.004220511244791328
IV FLUIDS,0.004217441973240149
vomit,0.004170766234506998
biopsy,0.00414810360642276
SGOT,0.004138871696983119
OD,0.004116675036070071
PLT,0.004033973112522976
soft diet,0.003937740238379136
fever,0.003906328647349648
oral,0.003905484171114277
stool,0.0038691789646380487
cholecystectomy,0.0038537270064123207
flatus,0.0038099006867061418
vomiting,0.003803541438905659
rt,0.003741299453449118
mL,0.0036615327845489157
fistula,0.0035055548870555793
nausea,0.0034707696981594784
possible,0.0034592511938930748
enema,0.0034529136712893828
exploratory laparotomy,0.0034245850305843354
ml,0.0033796438883260138
days,0.003330078984838049
Right,0.0033266683271084138
Soft diet,0.0033249225775243076
temp,0.0033201322259434236
Stable,0.003273453066300665
diet,0.003272328197202377
appendicectomy,0.0032395080392632466
fentanyl,0.0032363299217332705
Hb,0.003223513547758725
transfusion,0.0032222186719498918
None,0.00321512922096933
tab,0.003177126126385181
black,0.003175580430059333
PRBC,0.0031131642160993987
packing,0.003107078135827958
IVF,0.0030693266040849455
BILIRUBIN,0.0030619707166829307
Flatus,0.0029835464031617203
hb,0.002973610449762824
Hr,0.002971244401953628
Patient,0.0029574003887482985
PR,0.002900575319780212
hr,0.0028556942744289195
Abdominal distention,0.0028387820145221836
total gastrectomy,0.002825102355842867
Pancreatic necrosectomy,0.0028242485084529947
right,0.0028009503732707303
RTA,0.002793446083933086
pain,0.002789056794958407
Fever,0.0027871088553347717
UOP,0.0027752558253199477
subtotal colectomy,0.002720643038004147
Exploratory laparotomy,0.0027005700731452015
Oral,0.002683246979154062
pr,0.0026809632860987295
tumour,0.002669375134529355
other,0.0026397439031967387
INR,0.00262432733153575
pt,0.0025542226450001224
SERUM_SODIUM,0.002549863031844898
maintain,0.002546032960504694
unit,0.0025200926870149985
patient,0.002517668961683587
SGPT,0.0024949203634668654
Left,0.0024936046919512775
FFP,0.002473468304295205
blood transfusion,0.0024729107538838334
Liquid,0.0024712367040571445
ileostomy,0.0024704863020447053
lateral,0.0024609593446038762
mouth,0.002448926026001595
water,0.0024311984215135713
abdominal distension,0.0024113219630862827
ivf,0.0024087379037739925
albumin,0.0023885608780693413
abdominal,0.0023530515706807835
normal,0.0023391676237162554
abdomen,0.002330803206133832
repair,0.002326422178189361
bleeding,0.002322616549064092
HIGH,0.002287233951813538
left,0.002275308007428261
feeding jejunostomy,0.0022684526664228776
BD,0.0022602112813499774
perforation,0.0022289495169172647
tube,0.0022215247617882313
