,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
INDEX,CONCEPTS COUNT,CONCEPT_ID,CONCEPT_NAME,DUPLICATE CONCEPTS,,,,,,,,,,,,,,,
0,32749,33334452,Encounter HTML,,,,,,,,,,,,,,,,
1,10960,33334004,Patient Record Vector Image,,,,,,,,,,,,,,,,
2,10018,33334003,Patient Record Image,,,,,,,,,,,,,,,,
3,4607,33334002,Patient Image,,,,,,,,,,,,,,,,
4,4552,5089,Weight (kg),POIDS (KG),Uzito katika kilogram,WT,uzito,á__á‰¥á‹°á‰µ á‰¥ á_ªáˆ_áŒçáˆ«áˆù,peso (kg),Ibiro (Kg),Pwa (kg),,,,,,,,
5,4123,5090,Height (cm),HT,Taille (CM),_ __ÑÅÑ‚ (ÑÅ__),WotÃ¨ (cm),,,,,,,,,,,,
6,2477,160250,Final diagnosis,Diagnostic final,DÃ¨nye dyagnostik,DÃ¨nye dyagnostik,,,,,,,,,,,,,
7,1564,5085,Systolic blood pressure,SBP,SBP,SYSTOLIC,TENSION ARTÃ‰RIELLE SYSTOLIQUE,PRESSION SYSTOLIQUE,_¡_¸ÑÅÑ‚___»_¸Ñ‡_µÑÅ_º___µ _°Ñ€Ñ‚_µÑ€_¸_°_»ÑŒ_____µ _´_°___»_µ___¸_µ,Tansyon systolik,,,,,,,,,
8,1471,5086,Diastolic blood pressure,DBP,DBP,DIASTOLIC,TENSION ARTÃ‰RIELLE DIASTOLIQUE,PRESSION DIASTOLIQUE,_”_¸_°ÑÅÑ‚___»_¸Ñ‡_µÑÅ_º___µ _°Ñ€Ñ‚_µÑ€_¸_°_»ÑŒ_____µ _´_°___»_µ___¸_µ,Tansyon diastolik,,,,,,,,,
9,1331,33334027,Presenting Complaints,,,,,,,,,,,,,,,,
10,1174,5092,Blood oxygen saturation,SpO2,SaO2,Konbyen oksijÃ¨n ki nan san an,Saturation d'oxygÃ¨ne dans le sang,,,,,,,,,,,,
11,1165,5087,Pulse,Pouls,HR,Heart rate,HR,Pilsasyon,Batman kÃ¨,,,,,,,,,,
12,1145,5088,Temperature (C),TEMP (C),Temp (C),TEMPÃ‰RATURE (C),Igipimo cy'umuriro (celcius),_¢_µ___¿_µÑ€_°Ñ‚ÑƒÑ€_° (_¡),Tanperati (C),,,,,,,,,,
13,1106,5242,Respiratory rate,Rythme respiratoire,RR,TAUX RESPIRATOIRE,breaths per minute,Respirasyon pa minit,Pousantaj respiratwa,,,,,,,,,,
14,1087,170250000,Status,,,,,,,,,,,,,,,,
15,1052,33334037,Systemic Examination,,,,,,,,,,,,,,,,
16,926,160249,Provisional diagnosis,Diagnostic provisoire,Dyagnostik pwovizwa,,,,,,,,,,,,,,
17,871,160618,Family history comment,FamHx comment,FHx comment,"Commentaire sur les antÃ©cÃ©dents familiaux	",KÃ_mantÃ¨ istwa fanmi,,,,,,,,,,,,
18,826,678,WHITE BLOOD CELLS,Globules blancs,WBC,LEUKOCYTE COUNT,PUS CELLS,WBC,WHITE CELLS,Total WBC count,Total leukocyte count,Globil blan,,,,,,,
19,820,21,Hemoglobin,HÃ©moglobine,Kiwango Cha Damu,HGB,HB,HGB,Haemoglobin,Emoglobin,ÛÅÛŒÙ…ÙˆÚ¯Ù„ÙˆØ¨Ù†,,,,,,,,
20,812,1132,SERUM SODIUM,NA,NA,SODIUM,Sodium serum,SodyÃ_m sewÃ_m,,,,,,,,,,,
21,809,1133,SERUM POTASSIUM,K,POTASSIUM,Potassium serum,PotasyÃ_m SewÃ_m,,,,,,,,,,,,
