,importance
weight,0.026091590818454757
Height,0.024387800238259635
urine,0.0213407306568299
temp,0.013695768279453348
pulse,0.010454293345548007
min,0.007506934131072256
SERUM_CREATININE,0.0072859308378156315
SERUM_POTASSIUM,0.0070678406518124995
UREA,0.007010016198303019
closure,0.006851685622734209
stoma,0.006850104582028065
mL,0.006700201559311243
stable,0.00668810956254939
PLT,0.006521350201729094
nausea,0.006273795103863392
hemoglobin,0.006131648909999087
SERUM_ALBUMIN,0.0059589699264025655
ALKALINE_PHOSPHATASE,0.005926444501904227
SERUM_GGT,0.005837553038021929
Stable,0.00581349104264445
oral,0.0055424253408798705
vomiting,0.005389716210163195
fever,0.005362844375219687
Hb,0.005345506638634953
Phosphorous Test,0.0052039615938471095
RTA,0.005201293415422638
vomit,0.005167464384256815
SERUM_CALCIUM,0.005145632411193084
normal,0.005092470416166632
cholecystectomy,0.005083442868995534
transfusion,0.005013325625200501
stool,0.005011654332201514
TOTAL_PROTEIN,0.0050024314812399705
biopsy,0.004993003761771139
liquid,0.004971113125665022
PR,0.004962756080400454
SGOT,0.004907234460945189
repair,0.004697797259996014
ml,0.004691724609831467
DIRECT_BILIRUBIN,0.0046197262147049615
SGPT,0.004564940532170737
present,0.004538846906782371
UOP,0.004444963149169401
rt,0.00444479659590407
right,0.004431930585455593
fistula,0.004385511585307
SERUM_SODIUM,0.004373947608210218
soft diet,0.004360842097334962
diet,0.004325308620659989
flatus,0.00429578698016665
left,0.004130104892093814
IVF,0.004095421360628654
hr,0.004079900056172831
Transfusion,0.0040325034792268516
Patient,0.0039948996222167275
abdomen,0.003927207475126063
repeat,0.0039044843627803827
Oral,0.0038952559625013835
urine output,0.0038664208571055694
BILIRUBIN,0.0038400108647793957
patient,0.003802585563991446
Left,0.003770169806184908
cbc,0.003747045785852353
abdominal,0.0037027795605835954
prothrombin,0.0036885735995763713
Soft diet,0.003682643576142053
gm,0.0036821557103671448
motion,0.0036370440843054414
PRBC,0.0036252090244539136
tab,0.003586588206744197
foley,0.0035637731573020365
hb,0.0035337565234940258
pt,0.0035126469664506724
albumin,0.0034984584960801365
pain,0.0034796734182839396
perforation,0.003477205033319663
NA,0.0034520717317745872
water,0.003382697688001362
surgery,0.003369681746422675
WBC,0.003354243413762591
incisional hernia,0.003351755198192039
uop,0.0033411175551940142
days,0.0032755111465966676
tube,0.003265009820770596
iv,0.0032307976076365887
morning,0.00321033025700561
low,0.0032077397537867273
FFP,0.00319993088400838
primary,0.0031363828745728664
other,0.003054396979278414
ivf,0.0030205490301213824
CT,0.002992946921528103
abdominal distension,0.002990698724542205
evening,0.00297741691653384
Flatus,0.0029734465609844098
IV,0.0029536292084446068
CBC,0.0029321381897707633
pr,0.0028839517982826622
OD,0.0028591360482566504
ileostomy,0.002800677448997383
total gastrectomy,0.0027977372345809456
small,0.002769427934595942
air,0.002658978464561268
STABLE,0.0026538203288911243
exploratory laparotomy,0.0026314793324234416
heparin,0.002616134632126482
obstruction,0.002611093077764169
bag,0.0026023917995386526
mg,0.0025840385977617193
healthy,0.0025700306948528173
Pancreatic necrosectomy,0.002537602190386921
Fever,0.0025350028232733676
Nausea,0.0025327436547611377
Right,0.002531803877470257
Liquid,0.0025177573980506673
appendicectomy,0.0024982347165325445
Exploratory laparotomy,0.0024755026366862247
unit,0.0024738665415323575
subtotal colectomy,0.0024688173346965356
Vomiting,0.002396342628289618
tachycardia,0.0023625420363371174
ML,0.0023574749108884025
half,0.0023489260663632026
Heparin,0.0023272458184125638
jejunostomy,0.002321704517851574
abdominal pain,0.002289738350430301
blood transfusion,0.002284461289780819
wound,0.002278663065674956
excision,0.002251475115645536
splenectomy,0.0022484636027222467
Normal,0.0022476983066362123
adhesiolysis,0.0022317906078666004
MIN,0.0022194702410864822
antibiotics,0.002198428624614571
Hr,0.0021935137916695275
Abdominal,0.00219274021539758
bleeding,0.002179923799123396
HR,0.0021793044037630156
continue,0.00216222676946141
